# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-132.98
# idle,pivot_deg,-7.12
# idle,pivot_deg,36.30
# idle,pivot_deg,33.31
# idle,pivot_deg,35.77
# idle,pivot_deg,36.30
# idle,pivot_deg,36.04
# > o
# ok,pivot zeroed
# idle,pivot_deg,0.35
# idle,pivot_deg,1.58
# idle,pivot_deg,1.93
# idle,pivot_deg,1.32
# idle,pivot_deg,0.97
# > q 180

#BEGIN
# test,yquiet
# nominal_deg,180.0
# sample_hz,200
# action,do not touch the arm
t_s,pivot_deg,wheel_deg
0.0050,1.055,248.774
0.0100,0.967,249.129
0.0150,0.967,248.419
0.0200,0.967,248.597
0.0250,0.967,248.774
0.0300,0.967,248.685
0.0350,0.967,248.508
0.0400,0.879,248.685
0.0450,0.879,248.597
0.0500,0.791,248.685
0.0550,0.791,248.419
0.0600,0.791,248.419
0.0650,0.791,248.685
0.0700,0.791,248.597
0.0750,0.879,248.597
0.0800,0.879,248.685
0.0850,0.967,248.685
0.0900,1.055,248.685
0.0950,1.143,248.597
0.1000,1.318,248.242
0.1050,1.406,248.685
0.1100,1.406,248.597
0.1150,1.494,248.154
0.1200,1.494,248.508
0.1250,1.582,248.597
0.1300,1.582,248.774
0.1350,1.670,249.306
0.1400,1.670,248.597
0.1450,1.670,248.685
0.1500,1.670,248.685
0.1550,1.670,248.597
0.1600,1.670,248.685
0.1650,1.670,248.597
0.1700,1.758,248.154
0.1750,1.758,248.597
0.1800,1.758,248.597
0.1850,1.758,249.217
0.1900,1.846,248.863
0.1950,1.846,249.306
0.2000,1.846,248.331
0.2050,1.846,248.685
0.2100,1.758,248.508
0.2150,1.758,248.419
0.2200,1.758,248.774
0.2250,1.758,248.597
0.2300,1.670,248.597
0.2350,1.670,248.154
0.2400,1.670,248.154
0.2450,1.670,248.508
0.2500,1.582,248.685
0.2550,1.582,248.774
0.2600,1.582,248.685
0.2650,1.582,248.331
0.2700,1.494,248.419
0.2750,1.494,248.597
0.2800,1.406,248.508
0.2850,1.318,248.508
0.2900,1.318,248.951
0.2950,1.230,248.508
0.3000,1.230,247.622
0.3050,1.230,248.685
0.3100,1.230,248.597
0.3150,1.230,248.597
0.3200,1.143,248.508
0.3250,1.143,248.685
0.3300,1.055,248.685
0.3350,1.055,248.597
0.3400,1.055,248.242
0.3450,0.967,248.597
0.3500,0.879,248.685
0.3550,0.879,248.774
0.3600,0.791,248.154
0.3650,0.791,248.685
0.3700,0.879,248.774
0.3750,0.879,248.508
0.3800,0.967,248.597
0.3850,0.967,248.685
0.3900,0.967,248.597
0.3950,0.967,248.774
0.4000,1.055,248.685
0.4050,1.143,248.685
0.4100,1.143,248.597
0.4150,1.230,248.597
0.4200,1.143,248.597
0.4250,1.143,248.419
0.4300,1.143,248.508
0.4350,1.143,248.508
0.4400,1.143,248.508
0.4450,1.055,248.508
0.4500,1.055,248.508
0.4550,0.967,248.685
0.4600,1.055,248.863
0.4650,1.055,248.508
0.4700,1.055,248.508
0.4750,1.055,248.419
0.4800,1.055,248.597
0.4850,1.143,248.419
0.4900,1.230,248.597
0.4950,1.318,248.419
0.5000,1.406,249.040
0.5050,1.406,248.685
0.5100,1.494,248.508
0.5150,1.406,248.331
0.5200,1.318,248.331
0.5250,1.494,248.331
0.5300,1.494,248.508
0.5350,1.582,248.508
0.5400,1.582,248.685
0.5450,1.582,247.799
0.5500,1.582,248.331
0.5550,1.582,248.419
0.5600,1.670,248.597
0.5650,1.582,248.597
