# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,-2.90
# idle,pivot_deg,28.12
# idle,pivot_deg,6.06
# idle,pivot_deg,-14.50
# idle,pivot_deg,3.08
# idle,pivot_deg,5.36
# idle,pivot_deg,0.97
# idle,pivot_deg,-0.70
# idle,pivot_deg,0.26
# idle,pivot_deg,0.53
# idle,pivot_deg,0.35
# idle,pivot_deg,-1.67
# idle,pivot_deg,0.88
# idle,pivot_deg,-0.09
# idle,pivot_deg,0.18
# idle,pivot_deg,0.44
# idle,pivot_deg,0.00
# idle,pivot_deg,0.18
# idle,pivot_deg,0.53
# idle,pivot_deg,0.26
# idle,pivot_deg,-0.62
# idle,pivot_deg,-9.84
# idle,pivot_deg,2.20
# idle,pivot_deg,0.35
# idle,pivot_deg,-5.01
# idle,pivot_deg,-2.02
# idle,pivot_deg,0.53
# idle,pivot_deg,-1.67
# idle,pivot_deg,1.85
# idle,pivot_deg,-2.99
# idle,pivot_deg,-2.46
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
  STAGE 1: motor OFF. Displace ~20-30 deg and RELEASE.
# TEST,freeswing
# DURATION_S,20
# columns: t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
0.0050,-0.088,-2.50,275.539,0.0,0
0.0100,0.000,8.59,275.451,0.0,0
0.0150,-0.088,-7.12,275.539,0.0,0
0.0200,0.000,3.52,275.539,0.0,0
0.0250,-0.088,-6.74,275.451,0.0,0
0.0300,-0.088,-7.80,275.451,0.0,0
0.0350,-0.088,-5.38,275.628,0.0,0
0.0410,-0.088,-5.73,275.451,0.0,0
0.0460,-0.088,-2.99,275.451,0.0,0
0.0510,0.000,6.97,274.830,0.0,0
0.0560,-0.088,-8.37,275.716,0.0,0
0.0610,-0.088,-6.76,275.362,0.0,0
0.0660,0.000,3.67,275.716,0.0,0
0.0710,0.000,3.56,275.362,0.0,0
0.0760,0.000,4.19,275.451,0.0,0
0.0810,-0.088,-9.60,275.451,0.0,0
0.0860,-0.088,-9.22,276.071,0.0,0
0.0910,-0.088,-4.82,275.628,0.0,0
0.0960,0.000,5.75,275.894,0.0,0
0.1010,0.000,2.55,275.539,0.0,0
0.1060,-0.088,-10.34,275.539,0.0,0
0.1110,0.000,8.26,275.451,0.0,0
0.1160,0.000,8.64,275.716,0.0,0
0.1210,0.000,3.83,275.362,0.0,0
0.1260,-0.088,-9.93,275.539,0.0,0
0.1310,-0.088,-7.44,275.362,0.0,0
0.1360,-0.088,-8.88,275.451,0.0,0
0.1410,0.000,5.34,275.716,0.0,0
0.1460,0.000,8.55,275.539,0.0,0
0.1510,-0.088,-7.13,275.362,0.0,0
